"","Pathway","Total.x","Expected.x","Hits.x","P.Value.x","FDR.x","Total.y","Expected.y","Hits.y","P.Value.y","FDR.y"
"1","Activated TLR4 signalling",100,1.65,10,4.89e-06,0.000591,100,0.839,4,0.00959,0.464
"2","Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon",16,0.264,2,0.0278,0.428,16,0.134,2,0.00769,0.423
"3","Adaptive Immune System",654,10.8,17,0.0382,0.53,654,5.49,12,0.00695,0.423
"4","Antiviral mechanism by IFN-stimulated genes",69,1.14,5,0.00539,0.13,69,0.579,5,0.000258,0.0453
"5","Cytokine Signaling in Immune system",286,4.71,12,0.00249,0.083,286,2.4,16,7.49e-10,3.5e-07
"6","Cytosolic sensors of pathogen-associated DNA",19,0.313,3,0.00348,0.111,19,0.159,2,0.0108,0.472
"7","DAI mediated induction of type I IFNs",13,0.214,3,0.0011,0.0397,13,0.109,2,0.00508,0.423
"8","Immune System",1140,18.7,34,0.000226,0.0117,1140,9.54,29,2.48e-09,8.69e-07
"9","Innate Immune System",521,8.58,17,0.00477,0.126,521,4.37,11,0.00346,0.39
"10","ISG15 antiviral mechanism",69,1.14,5,0.00539,0.13,69,0.579,5,0.000258,0.0453
"11","MyD88 dependent cascade initiated on endosome",77,1.27,9,4.08e-06,0.000591,77,0.646,3,0.0264,0.771
"12","MyD88-independent cascade",88,1.45,10,1.5e-06,0.000351,88,0.738,4,0.00614,0.423
"13","RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways",67,1.1,4,0.0242,0.389,67,0.562,8,6.5e-08,1.82e-05
"14","Signal transduction by L1",35,0.577,5,0.000243,0.0121,35,0.294,2,0.0344,0.833
"15","TAK1 activates NFkB by phosphorylation and activation of IKKs complex",22,0.362,4,0.000406,0.0172,22,0.185,2,0.0143,0.609
"16","Toll Like Receptor 3 (TLR3) Cascade",88,1.45,10,1.5e-06,0.000351,88,0.738,4,0.00614,0.423
"17","Toll Like Receptor 4 (TLR4) Cascade",103,1.7,10,6.4e-06,0.00068,103,0.864,4,0.0106,0.472
"18","Toll Like Receptor 7/8 (TLR7/8) Cascade",77,1.27,9,4.08e-06,0.000591,77,0.646,3,0.0264,0.771
"19","Toll Like Receptor 9 (TLR9) Cascade",79,1.3,9,5.06e-06,0.000591,79,0.663,3,0.0282,0.807
"20","Toll-Like Receptors Cascades",123,2.03,11,4.83e-06,0.000591,123,1.03,4,0.0193,0.771
"21","TRAF3-dependent IRF activation pathway",14,0.231,2,0.0215,0.355,14,0.117,2,0.00589,0.423
"22","TRIF-mediated TLR3/TLR4 signaling",87,1.43,10,1.35e-06,0.000351,87,0.73,4,0.0059,0.423
