"","gene","log2FoldChange","padj","hgnc_symbol"
"1","ENSG00000025293",0.813903622022349,5.00628163667761e-17,"PHF20"
"2","ENSG00000124795",0.68358274794061,1.95908318629734e-14,"DEK"
"3","ENSG00000173020",-0.796945357008964,1.42292757416652e-12,"GRK2"
"4","ENSG00000067334",0.697384491243863,3.33260420701889e-11,"DNTTIP2"
"5","ENSG00000125977",0.766567651058422,5.53220861171915e-11,"EIF2S2"
"6","ENSG00000203485",-0.912310750565227,6.65226560787028e-11,"INF2"
"7","ENSG00000092020",0.715652082695509,6.66609741010308e-11,"PPP2R3C"
"8","ENSG00000162607",0.600545421134272,6.95247543063189e-11,"USP1"
"9","ENSG00000178966",0.798472257597043,2.59440108929369e-10,"RMI1"
"10","ENSG00000181523",-0.706675539946758,3.4832557577752e-10,"SGSH"
"11","ENSG00000064601",-0.718691405546155,4.05379715510813e-10,"CTSA"
"12","ENSG00000163956",-0.655603698475686,1.04921506233505e-09,"LRPAP1"
"13","ENSG00000123933",-0.953942590177271,3.36986876855661e-09,"MXD4"
"14","ENSG00000182179",-1.29871894148987,3.74512238304683e-09,"UBA7"
"15","ENSG00000114331",0.59259785112791,7.07151635475259e-09,"ACAP2"
"16","ENSG00000137497",-0.78633591535273,7.56354393250564e-09,"NUMA1"
"17","ENSG00000083520",0.591992832016325,9.00093282184545e-09,"DIS3"
"18","ENSG00000081791",-0.638681285695738,1.05252443035819e-08,"DELE1"
"19","ENSG00000119523",0.635603064399492,1.71783018155857e-08,"ALG2"
"20","ENSG00000177058",0.585059902078478,2.0670553483312e-08,"SLC38A9"
"21","ENSG00000170638",-0.875747049991843,6.68195232213061e-08,"TRABD"
"22","ENSG00000115514",0.781042783882219,9.02698060522733e-08,"TXNDC9"
"23","ENSG00000141971",-1.04050497462191,9.93580542072521e-08,"MVB12A"
"24","ENSG00000118197",0.724161592350666,1.05291349801379e-07,"DDX59"
"25","ENSG00000129657",-0.764691661853913,1.2226491120837e-07,"SEC14L1"
"26","ENSG00000104915",-0.943846845793602,1.24500871664427e-07,"STX10"
"27","ENSG00000149091",-0.915448886076743,1.42338424416649e-07,"DGKZ"
"28","ENSG00000124140",-1.28918735712581,1.78374415120005e-07,"SLC12A5"
"29","ENSG00000168763",-1.12540569919498,1.96764941174783e-07,"CNNM3"
"30","ENSG00000092108",0.669605435293408,2.15515426047905e-07,"SCFD1"
"31","ENSG00000124313",-1.10255393288287,2.27085997506949e-07,"IQSEC2"
"32","ENSG00000105373",-0.796434200348167,2.27621088155793e-07,"NOP53"
"33","ENSG00000114650",-0.81263623187748,2.93162673485985e-07,"SCAP"
"34","ENSG00000147813",-1.07086667357381,3.57218367844897e-07,"NAPRT"
"35","ENSG00000182628",0.878949892599575,3.91159715269284e-07,"SKA2"
