"","gene","log2FoldChange","padj","hgnc_symbol"
"1","ENSG00000169499",-0.802910959906588,1.03667956183023e-22,"PLEKHA2"
"2","ENSG00000008130",0.951112734285425,2.5742262690027e-13,"NADK"
"3","ENSG00000117632",-1.09194550907362,1.05344215532929e-12,"STMN1"
"4","ENSG00000104325",-0.723902342413961,1.12382235501488e-12,"DECR1"
"5","ENSG00000079999",0.9409171970304,1.16270287669274e-11,"KEAP1"
"6","ENSG00000084207",0.903893696145115,1.73557283601326e-11,"GSTP1"
"7","ENSG00000142634",0.797339208460173,8.66743437939765e-11,"EFHD2"
"8","ENSG00000141664",0.674209590186212,7.28747327962963e-10,"ZCCHC2"
"9","ENSG00000157191",0.703895154555942,9.92934449900181e-10,"NECAP2"
"10","ENSG00000139163",-0.709631308100257,3.69759409955054e-09,"ETNK1"
"11","ENSG00000272325",-0.665846464139451,5.04002483676371e-09,"NUDT3"
"12","ENSG00000186635",0.913358602349662,5.22083390421372e-09,"ARAP1"
"13","ENSG00000142657",0.660468027287659,8.57759482092295e-09,"PGD"
"14","ENSG00000204525",0.799059228085738,2.95770372904337e-08,"HLA-C"
"15","ENSG00000163348",0.796699195788067,3.21338776746565e-08,"PYGO2"
"16","ENSG00000084070",0.829226443372138,3.57218185958708e-08,"SMAP2"
"17","ENSG00000101337",0.645426010024034,5.32991709084476e-08,"TM9SF4"
"18","ENSG00000050748",-0.715470227424381,6.66392052584409e-08,"MAPK9"
"19","ENSG00000101079",-0.69555165244558,7.42812087768869e-08,"NDRG3"
"20","ENSG00000120889",0.737949938689604,8.90335295250072e-08,"TNFRSF10B"
"21","ENSG00000172432",0.745205907188236,1.39628046405144e-07,"GTPBP2"
"22","ENSG00000135148",0.803551947730922,1.69900951802851e-07,"TRAFD1"
"23","ENSG00000131871",0.626042577644109,1.74540025514586e-07,"SELENOS"
"24","ENSG00000246705",0.731538792918606,2.46723240755225e-07,"H2AFJ"
"25","ENSG00000214022",0.894463692839001,2.47043369594858e-07,"REPIN1"
"26","ENSG00000163719",0.640848957933924,3.12944800355979e-07,"MTMR14"
"27","ENSG00000156860",0.80821585115612,3.69000599533281e-07,"FBRS"
"28","ENSG00000135929",3.6942342632873,4.98370664456164e-07,"CYP27A1"
"29","ENSG00000101695",-0.978263595904553,5.57197611973976e-07,"RNF125"
"30","ENSG00000103653",0.889480972055532,6.56648555550027e-07,"CSK"
"31","ENSG00000034510",0.689189679458381,7.85563071268156e-07,"TMSB10"
"32","ENSG00000113648",0.603415954942377,8.69895708082868e-07,"H2AFY"
"33","ENSG00000185880",0.63720348909492,9.0267016167361e-07,"TRIM69"
"34","ENSG00000060982",-1.06250046421289,9.98677655797949e-07,"BCAT1"
"35","ENSG00000164970",0.779633284520642,9.98677655797949e-07,"FAM219A"
"36","ENSG00000165240",-0.959144522929131,1.00552379538581e-06,"ATP7A"
"37","ENSG00000104825",1.09375803720105,1.07670729890906e-06,"NFKBIB"
"38","ENSG00000132436",0.957383222340598,1.20433832289815e-06,"FIGNL1"
"39","ENSG00000169180",0.658107485201775,1.24291779000475e-06,"XPO6"
"40","ENSG00000156642",0.586560588149039,1.49667646131052e-06,"NPTN"
"41","ENSG00000115568",0.805524690156547,1.88465726524293e-06,"ZNF142"
"42","ENSG00000165914",0.840095809190162,2.2744524800994e-06,"TTC7B"
"43","ENSG00000105723",0.62509523092414,2.4183697560164e-06,"GSK3A"
