gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ABSLFC,FC,hgnc_symbol,entrezgene
ENSG00000112096,93496.53295926988,5.3631380729990035,0.18630723680890907,28.786525767111492,3.163098664585449e-182,4.413471566696077e-178,5.3631380729990035,41.15905840526772,SOD2,6648
ENSG00000115919,5437.90393137062,3.123107988419024,0.10898500225143844,28.65630980319408,1.3376199701620449e-180,9.331905721835505e-177,3.123107988419024,8.71262825478352,KYNU,8942
ENSG00000023445,1834.7268644172652,7.021902692902199,0.2603588360860006,26.970095574489182,3.315793974340687e-160,1.5421757774658535e-156,7.021902692902199,129.9580951838126,BIRC3,330
ENSG00000101017,1235.4108132481717,4.0603876255910984,0.16942803920770655,23.96526362801942,6.406070211472949e-127,2.2345974415170515e-123,4.0603876255910984,16.683934237211595,CD40,958
ENSG00000056558,1875.0729993868006,5.70492867103732,0.24174924953273516,23.598537253224514,3.9897254436634496e-123,1.1133727823087222e-119,5.70492867103732,52.16205024160347,TRAF1,7185
ENSG00000118503,4985.499843058995,5.230698141709305,0.2252280645122897,23.22400697726499,2.605312408899443e-119,6.058654006895654e-116,5.230698141709305,37.548884446467554,TNFAIP3,7128
ENSG00000115604,1086.1685763585242,5.930925375317832,0.2610018136877876,22.723694105867217,2.6128376286774375e-114,5.2081319189908976e-111,5.930925375317832,61.00795112637552,IL18R1,8809
ENSG00000077150,2141.9379986776066,4.661476894644799,0.20809971421923773,22.40020805474931,3.917446977433252e-111,6.83251720951577e-108,4.661476894644799,25.307215856010554,NFKB2,4791
ENSG00000196839,1837.7694974599142,2.7265847090405173,0.12299030146337418,22.169103389444725,6.825647371210342e-109,1.0582028641166432e-105,2.7265847090405173,6.618868961595029,ADA,100
ENSG00000166920,1904.3650116410893,6.217517544272663,0.28648339327647615,21.702889906335102,1.9266559428941503e-104,2.688263037120208e-101,6.217517544272663,74.4147932362355,C15orf48,84419
ENSG00000109320,4287.698882054714,4.031219926996715,0.189034042027762,21.325364911811388,6.603663524700133e-101,8.37644701455827e-98,4.031219926996715,16.350013558595943,NFKB1,4790
ENSG00000110047,3086.561966227236,5.3419894381216,0.25152272491878036,21.238595597461785,4.2026767328985446e-100,4.886662371177782e-97,5.3419894381216,40.560103766081326,EHD1,10938
ENSG00000153208,2054.6615661935934,-4.103322345736611,0.19488726410910803,-21.054851195608954,2.0643060974019845e-98,2.2156356136192226e-95,4.103322345736611,-17.187911464207584,MERTK,10461
ENSG00000160326,617.299075608765,6.33962303415266,0.3077082164513237,20.602709629482785,2.595088433822922e-94,2.5863763512236593e-91,6.33962303415266,80.98725786067283,SLC2A6,11182
ENSG00000086061,3846.3794385034494,1.6433799420828012,0.07979861706411677,20.594090506134645,3.10054292281486e-94,2.884125026802383e-91,1.6433799420828012,3.123968577297881,DNAJA1,3301
ENSG00000271503,1435.0251762830928,7.683865537873865,0.3748510918093677,20.49844779905705,2.2227077152636196e-93,1.9383400469420803e-90,7.683865537873865,205.62409769056086,CCL5,6352
ENSG00000197971,1674.5038552749927,-2.0905284917593128,0.1043923026918004,-20.025695744361766,3.288864713865503e-89,2.6993840795626682e-86,2.0905284917593128,-4.259040626803825,MBP,4155
ENSG00000163082,1075.1840542293094,8.050358723354236,0.4070357590276129,19.77801346639942,4.604767644118937e-87,3.569462385466196e-84,8.050358723354236,265.0937273559954,SGPP2,130367
ENSG00000183484,491.2173108365147,2.6839494110117057,0.13589034502313227,19.75084698294661,7.888372524335072e-87,5.792971675370908e-84,2.6839494110117057,6.426126634025508,GPR132,29933
ENSG00000102096,1158.9134980058595,5.064533929289207,0.25789227160983724,19.638176427990416,7.297181036278432e-86,5.090878349959648e-83,5.064533929289207,33.46390562486317,PIM2,11040
ENSG00000050344,1381.6684467768396,5.092879836732341,0.26198128253169667,19.43986145695795,3.5512341445274073e-84,2.3595414294567104e-81,5.092879836732341,34.127902326917095,NFE2L3,9603
ENSG00000106701,1130.3742626767998,5.34378345327146,0.2777155507186994,19.24193095936578,1.6494766946233157e-82,1.0461431054581421e-79,5.34378345327146,40.61057229882478,FSD1L,83856
ENSG00000003989,1698.2188187955878,3.9780508341642857,0.20685266114969508,19.231325389067393,2.0238909604638747e-82,1.2277978509283672e-79,3.9780508341642857,15.758418333204201,SLC7A2,6542
ENSG00000134802,982.8555820023456,2.592130686982303,0.13488806201531814,19.21690213540125,2.672574950098725e-82,1.5537682616136464e-79,2.592130686982303,6.029885832591981,SLC43A3,29015
ENSG00000049249,668.4622370148652,6.796658685216532,0.36164774679493883,18.79358780872031,8.521840975310955e-79,4.7562098851405504e-76,6.796658685216532,111.17269519819392,TNFRSF9,3604
ENSG00000169499,1510.8580762801469,-1.497687162779457,0.08060722462379225,-18.580061151707184,4.659739529585759e-77,2.5006671406273115e-74,1.497687162779457,-2.823896402360066,PLEKHA2,59339
ENSG00000143321,2822.266104340851,1.5950895893288988,0.08716752718727365,18.29912630080643,8.408652654109214e-75,4.345404832695773e-72,1.5950895893288988,3.0211327733883215,HDGF,3068
ENSG00000254087,11578.205322099311,1.9608558227911517,0.10758992336818447,18.225273904888738,3.2524335665215428e-74,1.6207573412026817e-71,1.9608558227911517,3.892928433396147,LYN,4067
ENSG00000123610,2225.8262981724756,8.955168344386264,0.49176525976980023,18.210250046085523,4.279877445761859e-74,2.059211379335007e-71,8.955168344386264,496.3342988689335,TNFAIP6,7130
ENSG00000115652,1789.8798848599283,3.627370362249884,0.2008757584665779,18.05778054027068,6.852278554196927e-73,3.186994755556991e-70,3.627370362249884,12.357974206426949,UXS1,80146
ENSG00000150938,4356.055824160118,3.7347776239090873,0.2089299321866791,17.875742287476836,1.822335842823357e-71,8.202274843520742e-69,3.7347776239090873,13.31312752026192,CRIM1,51232
ENSG00000213949,763.0208599910736,5.564068319987283,0.31142388503366386,17.866543278739925,2.1490534164953556e-71,9.370544475112404e-69,5.564068319987283,47.30983814325945,ITGA1,3672
ENSG00000164236,1003.6995759685375,4.113806013908846,0.23489398700941697,17.51345816163409,1.131091193207884e-68,4.782459217827152e-66,4.113806013908846,17.31326619832943,ANKRD33B,651746
ENSG00000133805,4430.403984144357,2.6475260351476506,0.15208699386214464,17.40797137161796,7.178281262989675e-68,2.945839954779263e-65,2.6475260351476506,6.265918631453165,AMPD3,272
ENSG00000114554,700.3784955229938,2.660136311291316,0.1557060140347263,17.084351736716087,1.9408817048790225e-65,7.737463550907714e-63,2.660136311291316,6.3209276918811454,PLXNA1,5361
