gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ABSLFC,FC,hgnc_symbol,entrezgene
ENSG00000196839,1837.7694974599142,3.556602566015875,0.12307682032987263,28.89741997301691,1.2864594679980102e-183,1.7949968956976236e-179,3.556602566015875,11.7664121062358,ADA,100
ENSG00000112096,93496.53295926988,4.9537970903288855,0.18631454487065716,26.588354085656054,9.256386821587833e-156,6.457718266080752e-152,4.9537970903288855,30.991422920785762,SOD2,6648
ENSG00000115919,5437.90393137062,2.702027662455563,0.10904579908028997,24.778833162257552,1.5163374612917595e-135,7.052485532467973e-132,2.702027662455563,6.507158353111226,KYNU,8942
ENSG00000166920,1904.3650116410893,5.727571417560322,0.2868830719782422,19.964828799639708,1.1140888477385902e-88,3.886220423124137e-85,5.727571417560322,52.98717904820855,C15orf48,84419
ENSG00000160326,617.299075608765,5.423404704706049,0.2945944506226084,18.40973138918264,1.0976562185683921e-75,3.063119443536955e-72,5.423404704706049,42.91483970987146,SLC2A6,11182
ENSG00000023445,1834.7268644172652,4.637310461107499,0.26034181023193026,17.812392319836242,5.663649309105485e-71,1.3170816468324806e-67,4.637310461107499,24.88682809902011,BIRC3,330
ENSG00000163082,1075.1840542293094,6.627909374099137,0.3835215235749279,17.281714236839317,6.459918454111355e-67,1.287646317003082e-63,6.627909374099137,98.90073750350955,SGPP2,130367
ENSG00000254087,11578.205322099311,1.8389852057110507,0.10739875538507225,17.12296570958827,1.0004597813281178e-65,1.7449269161089035e-62,1.8389852057110507,3.5775829201901206,LYN,4067
ENSG00000118503,4985.499843058995,3.8089706474347813,0.22525254323124838,16.90977865463842,3.8113683950055464e-64,5.908891468390265e-61,3.8089706474347813,14.015687879923519,TNFAIP3,7128
ENSG00000150938,4356.055824160118,3.474426370790912,0.20889522752202944,16.632387498773806,4.060852208497693e-62,5.666107086516831e-59,3.474426370790912,11.114925480406807,CRIM1,51232
ENSG00000271503,1435.0251762830928,6.356818325321339,0.38381941821032406,16.562002920440964,1.3115437267020158e-61,1.663633601697566e-58,6.356818325321339,81.95830968730573,CCL5,6352
ENSG00000162144,987.1081143723507,2.884227438904184,0.1745858031692862,16.520400780282852,2.61653589196166e-61,3.0423771083784204e-58,2.884227438904184,7.383103785723976,CYB561A3,220002
ENSG00000049249,668.4622370148652,5.44760331801194,0.337014027041107,16.16432219703269,9.002256980773158e-59,9.662191665594453e-56,5.44760331801194,43.64072965485993,TNFRSF9,3604
ENSG00000050344,1381.6684467768396,4.233863940238082,0.2623035643038177,16.141084287112985,1.3121579978136293e-58,1.3077528959638264e-55,4.233863940238082,18.815685424214546,NFE2L3,9603
ENSG00000077150,2141.9379986776066,3.362372246696387,0.20957675457470953,16.04363162088081,6.3339639603075476e-58,5.891853275878081e-55,3.362372246696387,10.284303931522643,NFKB2,4791
ENSG00000123610,2225.8262981724756,7.214159191189509,0.4568989813892721,15.78939652973999,3.6808443117198035e-56,3.2099262925891513e-53,7.214159191189509,148.48353898067714,TNFAIP6,7130
ENSG00000056558,1875.0729993868006,3.868193680122394,0.24691816581488069,15.665893464567745,2.5876751158327828e-55,2.1238724053655774e-52,3.868193680122394,14.603008121874003,TRAF1,7185
ENSG00000090376,1670.036338500576,2.7339119937995955,0.176190455658247,15.516799610885327,2.670415953199398e-54,2.0700174330550668e-51,2.7339119937995955,6.652570959479256,IRAK3,11213
ENSG00000105246,460.0078035790933,5.6419066715191875,0.3759117062844104,15.008595308948923,6.449919349910231e-51,4.736617088910392e-48,5.6419066715191875,49.932480475831106,EBI3,10148
ENSG00000110047,3086.561966227236,3.7003802374971904,0.2500103516344468,14.800908095628415,1.4451824567621223e-49,1.0082315409600946e-46,3.7003802374971904,12.99946403612062,EHD1,10938
ENSG00000160013,159.5525034233316,3.5473916549142785,0.2404285787859702,14.754450876125548,2.8802614524740006e-49,1.9137280022080824e-46,3.5473916549142785,11.691528549443232,PTGIR,5739
ENSG00000143321,2822.266104340851,1.2741263683807502,0.08724637789780618,14.603773807930063,2.6572008731263805e-48,1.6852692628514722e-45,1.2741263683807502,2.418523185398278,HDGF,3068
ENSG00000153898,408.3705051836398,6.525873535506342,0.45020194991998225,14.495435963052213,1.2947768989246677e-47,7.854792204650386e-45,6.525873535506342,92.1475265162797,MCOLN2,255231
ENSG00000213949,763.0208599910736,4.308029827230885,0.2976291708778184,14.474487882101451,1.7562893924077973e-47,1.0210627455110831e-44,4.308029827230885,19.808254178105695,ITGA1,3672
ENSG00000253522,827.0633867382237,6.248911973589316,0.4397825030058896,14.209096384868296,8.045697161838036e-46,4.4904644999650446e-43,6.248911973589316,76.0518782570733,MIR3142HG,NA
ENSG00000133805,4430.403984144357,2.0404309596581442,0.15174462212877157,13.446479559101737,3.228822741925477e-41,1.732760143003315e-38,2.0404309596581442,4.113683956490607,AMPD3,272
ENSG00000026751,6672.61571565388,5.801312781505919,0.43369529933862544,13.376471431331575,8.299484630551912e-41,4.2889892240774386e-38,5.801312781505919,55.765957247938964,SLAMF7,57823
ENSG00000101460,151.19498718638337,3.7378963782150296,0.2827584803399445,13.21939619183541,6.780607036098644e-40,3.378921784810156e-37,3.7378963782150296,13.34193838008401,MAP1LC3A,84557
ENSG00000004468,838.5586710516853,5.268933554887377,0.39973102940259153,13.181197273481459,1.1258970432969184e-39,5.417117739697207e-37,5.268933554887377,38.557338232820136,CD38,952
ENSG00000178719,2090.6690175849512,1.858246612348493,0.14197352623390494,13.08868393736298,3.821722411195446e-39,1.7774830934470022e-36,1.858246612348493,3.6256674668181197,GRINA,2907
ENSG00000123240,978.7378675513398,5.723582858578286,0.4396368896730534,13.018886706333417,9.555388162033054e-39,4.300849387898297e-36,5.723582858578286,52.84088991080265,OPTN,10133
ENSG00000142156,350.1818405892437,2.614312851077553,0.20137042590955379,12.982605758860442,1.5356566843692538e-38,6.695943036563812e-36,2.614312851077553,6.123314787420376,COL6A1,1291
ENSG00000107551,4527.110726905045,1.3833352056123887,0.1098409459987293,12.593984811714858,2.2787283729044308e-36,9.634877874889552e-34,1.3833352056123887,2.608707525018118,RASSF4,83937
ENSG00000172575,482.0196456425616,5.544596200365856,0.4409030760219246,12.575544381301032,2.8781087219614274e-36,1.1811250293390529e-33,5.544596200365856,46.675585037413775,RASGRP1,10125
ENSG00000093167,804.7214831386168,1.3897153429750007,0.11188643117744872,12.42076745455355,2.0161804794704286e-35,8.037647494300254e-33,1.3897153429750007,2.620269753342309,LRRFIP2,9209
ENSG00000162367,960.490150078159,-2.582622860658262,0.21254336064500204,-12.151039923434054,5.664052294939324e-34,2.1952922686468994e-31,2.582622860658262,-5.990277596135742,TAL1,6886
