gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ABSLFC,FC,hgnc_symbol,entrezgene
ENSG00000025293,1373.2402594019572,0.8139036220223488,0.0909267020216458,8.951205794625574,3.5162015365470184e-19,5.006281636677607e-17,0.8139036220223488,1.7579616788117198,PHF20,51230
ENSG00000124795,3204.528450221285,0.6835827479406099,0.08310145574836697,8.225881746410236,1.9376010872861218e-16,1.9590831862973375e-14,0.6835827479406099,1.606123407998359,DEK,7913
ENSG00000173020,1158.7844316475184,-0.7969453570089642,0.10395845474032879,-7.665998489488934,1.7744527908333284e-14,1.422927574166519e-12,0.7969453570089642,-1.7374185632233672,GRK2,156
ENSG00000067334,1305.865283829556,0.697384491243863,0.0965682674043834,7.221673433608767,5.135167379839901e-13,3.33260420701889e-11,0.697384491243863,1.6215623431819313,DNTTIP2,30836
ENSG00000125977,1364.363453574439,0.7665676510584222,0.10726001642851822,7.146816461372532,8.881349738587334e-13,5.532208611719155e-11,0.7665676510584222,1.7012175592684393,EIF2S2,8894
ENSG00000203485,513.2309574235934,-0.9123107505652268,0.1281512781442911,-7.119014057261423,1.0870182459646118e-12,6.652265607870276e-11,0.9123107505652268,-1.8820575588119164,INF2,64423
ENSG00000092020,653.5422017037762,0.7156520826955093,0.10053941760092258,7.118124411026449,1.0940559785806682e-12,6.666097410103084e-11,0.7156520826955093,1.6422253181398605,PPP2R3C,55012
ENSG00000162607,662.3101710825287,0.6005454211342718,0.08444444626369053,7.111721939166704,1.1460398115425604e-12,6.952475430631889e-11,0.6005454211342718,1.5162897022846535,USP1,7398
ENSG00000178966,337.8266189354146,0.7984722575970431,0.11542572909874618,6.9176280178741925,4.592683072138898e-12,2.5944010892936856e-10,0.7984722575970431,1.7392583628334635,RMI1,80010
ENSG00000181523,444.27861933385896,-0.7066755399467584,0.10283744902594728,-6.871772361530035,6.340908496200828e-12,3.483255757775203e-10,0.7066755399467584,-1.6320390077841143,SGSH,6448
ENSG00000064601,2205.6987094719275,-0.7186914055461553,0.10495956409392874,-6.847316981070876,7.524786520268087e-12,4.053797155108132e-10,0.7186914055461553,-1.6456886378430036,CTSA,5476
ENSG00000163956,1055.9110148154357,-0.655603698475686,0.09785001207863335,-6.700088068960437,2.082939670800613e-11,1.0492150623350524e-9,0.655603698475686,-1.5752749920484133,LRPAP1,4043
ENSG00000123933,434.88128349097,-0.9539425901772711,0.14650042338502225,-6.511534698232136,7.438684015734502e-11,3.3698687685566072e-9,0.9539425901772711,-1.9371592906549988,MXD4,10608
ENSG00000182179,147.1222262488993,-1.2987189414898697,0.200011068122817,-6.493235367816695,8.401227735208606e-11,3.7451223830468266e-9,1.2987189414898697,-2.460103377987597,UBA7,7318
ENSG00000276855,36.0155452271632,1.8320357796806306,0.28499575783533326,6.428291401934327,1.290461822984363e-10,5.6092877931778245e-9,1.8320357796806306,3.560391231699538,NA,NA
ENSG00000114331,2863.461177300623,0.5925978511279104,0.09273619020656793,6.390146606280796,1.6572678621114426e-10,7.071516354752587e-9,0.5925978511279104,1.5079596768142998,ACAP2,23527
ENSG00000137497,1149.697249771974,-0.7863359153527296,0.12326201514026507,-6.379385526497557,1.777999290376156e-10,7.563543932505641e-9,0.7863359153527296,-1.7246886176807936,NUMA1,4926
ENSG00000083520,1155.136616054269,0.5919928320163249,0.09321517508915116,6.350820362136765,2.1416969088029025e-10,9.00093282184545e-9,0.5919928320163249,1.5073274204322127,DIS3,22894
ENSG00000081791,646.7560508109708,-0.6386812856957382,0.10097783007677862,-6.324965442514621,2.5328926132921196e-10,1.0525244303581861e-8,0.6386812856957382,-1.5569053989382977,DELE1,9812
ENSG00000119523,745.7061810735295,0.6356030643994922,0.10182756284473635,6.24195499374409,4.3213530690679916e-10,1.7178301815585665e-8,0.6356030643994922,1.5535870329143862,ALG2,85365
ENSG00000177058,513.6384005994083,0.5850599020784784,0.09420148436754205,6.210729119678987,5.273931799655329e-10,2.0670553483312027e-8,0.5850599020784784,1.5001012736329449,SLC38A9,153129
ENSG00000170638,288.4828810523139,-0.8757470499918434,0.14573115837109232,-6.009332937310675,1.8628821424129637e-9,6.681952322130613e-8,0.8757470499918434,-1.834958010320394,TRABD,80305
ENSG00000115514,397.09664881276603,0.7810427838822191,0.13113958028832778,5.955812746731329,2.5878250140406603e-9,9.026980605227334e-8,0.7810427838822191,1.7183724683804709,TXNDC9,10190
ENSG00000141971,88.44053343914356,-1.0405049746219124,0.1752141583862557,-5.938475430325341,2.8768475524783097e-9,9.935805420725212e-8,1.0405049746219124,-2.056947503658075,MVB12A,93343
ENSG00000118197,379.87322818166797,0.7241615923506656,0.12217313268613351,5.9273391491978735,3.078826827131275e-9,1.0529134980137911e-7,0.7241615923506656,1.6519403488584472,DDX59,83479
ENSG00000129657,3051.2724234752654,-0.7646916618539131,0.12962296399120024,-5.899353311391846,3.6492904779719864e-9,1.2226491120836967e-7,0.7646916618539131,-1.699006841414357,SEC14L1,6397
ENSG00000104915,158.23516261933608,-0.9438468457936023,0.160089274221982,-5.895753168852845,3.72976165381857e-9,1.2450087166442706e-7,0.9438468457936023,-1.923650686798477,STX10,8677
ENSG00000149091,682.8334771281321,-0.9154488860767428,0.15594145949699478,-5.87046503880121,4.345744198487238e-9,1.4233842441664888e-7,0.9154488860767428,-1.886155846844244,DGKZ,8525
ENSG00000124140,98.65229286197865,-1.2891873571258108,0.22116528802163585,-5.82906733989691,5.573800974150504e-9,1.7837441512000456e-7,1.2891873571258108,-2.4439035628747563,SLC12A5,57468
ENSG00000168763,93.38479074560638,-1.1254056991949806,0.19365079523236295,-5.811521186084459,6.190769667865684e-9,1.9676494117478334e-7,1.1254056991949806,-2.1816288733046,CNNM3,26505
ENSG00000092108,877.7720125246029,0.6696054352934078,0.11558399832120873,5.7932364775318606,6.904278323185957e-9,2.155154260479053e-7,0.6696054352934078,1.5906378822130571,SCFD1,23256
ENSG00000124313,206.4275008277642,-1.102553932882865,0.19063123252154246,-5.783700384763918,7.307504685775123e-9,2.2708599750694942e-7,1.102553932882865,-2.147344902664261,IQSEC2,23096
ENSG00000105373,591.0178130471597,-0.7964342003481674,0.13772155686647952,-5.782930562717259,7.341037029320359e-9,2.2762108815579329e-7,0.7964342003481674,-1.7368030930540723,NOP53,29997
ENSG00000114650,200.04150542090335,-0.81263623187748,0.14166956195073854,-5.736138523249267,9.685945135600893e-9,2.931626734859854e-7,0.81263623187748,-1.7564180088853578,SCAP,22937
ENSG00000147813,87.55605772294524,-1.0708666735738124,0.18791955036263855,-5.698537866375813,1.2083929593835837e-8,3.5721836784489707e-7,1.0708666735738124,-2.100694943671177,NAPRT,93100
ENSG00000182628,162.06916757665564,0.8789498925995746,0.15470118556111911,5.681597651702031,1.3344228801560885e-8,3.9115971526928373e-7,0.8789498925995746,1.8390362181498447,SKA2,348235
ENSG00000151835,556.4168110067758,0.9080570748125928,0.1603637344933195,5.66248396298367,1.491973239668838e-8,4.3189839446264097e-7,0.9080570748125928,1.8765166288678083,SACS,26278
ENSG00000138778,192.14827240379728,1.0003803316551854,0.17668304162256868,5.66200537679334,1.496141352515707e-8,4.3220828761183557e-7,1.0003803316551854,2.0005273211336165,CENPE,1062
ENSG00000144231,392.57150124851887,0.6622803627478775,0.11708138295616084,5.6565813114443415,1.5441783957608033e-8,4.4516366024897706e-7,0.6622803627478775,1.5825821198639747,POLR2D,5433
ENSG00000108061,1595.6835398156447,0.6948415223156778,0.12340321140245177,5.630659967588758,1.7952134712965913e-8,5.101550624236525e-7,0.6948415223156778,1.6187066110616073,SHOC2,8036
ENSG00000105875,648.5342233596015,-1.1849914269430717,0.21083463084508383,-5.620478107383481,1.904297228065578e-8,5.400540492520124e-7,1.1849914269430717,-2.2736204356920013,WDR91,29062
ENSG00000110713,1817.588113226424,0.6034483049341617,0.1073788533819591,5.619805817702539,1.911722031190892e-8,5.410599898824851e-7,0.6034483049341617,1.5193437393185356,NUP98,4928
ENSG00000011600,2461.401372508155,-0.6389740987854964,0.11373119794747749,-5.618283376216461,1.9286400040523294e-8,5.436427065968111e-7,0.6389740987854964,-1.5572214245251692,TYROBP,7305
ENSG00000106009,109.94606403888801,-1.153916342984665,0.20549867414479875,-5.615200914491502,1.963339801875157e-8,5.50089964971166e-7,1.153916342984665,-2.2251712072617553,BRAT1,221927
ENSG00000172053,1253.6265233046959,-0.5966618736963567,0.10661850100938157,-5.596232061486733,2.19060443367724e-8,6.088745749621222e-7,0.5966618736963567,-1.5122135363044713,QARS,5859
ENSG00000181061,499.75912161683215,0.7680915564321315,0.1375046262682573,5.585932468436838,2.3244955730561562e-8,6.397176869990641e-7,0.7680915564321315,1.7030154889785307,HIGD1A,25994
ENSG00000197601,2186.5674796601816,0.6570891086490857,0.11770609386974742,5.582456158779808,2.371454006288753e-8,6.51356254916279e-7,0.6570891086490857,1.5768977428385569,FAR1,84188
ENSG00000102218,1805.2420357664105,0.7886518499917096,0.14207352206981813,5.551012169629668,2.840203112516774e-8,7.49137127201258e-7,0.7886518499917096,1.7274594553692169,RP2,6102
ENSG00000213281,2582.0710380092924,0.6522373948978962,0.1198135560816801,5.443769605279461,5.216468228307174e-8,1.3043975123578852e-6,0.6522373948978962,1.571603618812874,NRAS,4893
ENSG00000188419,852.4401501688995,0.6955405304150811,0.12812101370918014,5.428777920801326,5.6741235042936455e-8,1.4037419371526461e-6,0.6955405304150811,1.6194910895243957,CHM,1121
ENSG00000140400,666.6367573202084,-0.8242415813580729,0.15195823998541028,-5.424132192089152,5.823677271294649e-8,1.438190601174765e-6,0.8242415813580729,-1.7706039945202592,MAN2C1,4123
ENSG00000099624,90.60301424013366,-1.0951320938551157,0.20222312674798795,-5.415464153216649,6.11299186928454e-8,1.4937754037150119e-6,1.0951320938551157,-2.136326410219704,ATP5F1D,513
ENSG00000165813,512.0420113046008,0.6698674434039689,0.12389628843857048,5.406678858956284,6.42041102012697e-8,1.5661537581089444e-6,0.6698674434039689,1.5909267844831252,CCDC186,55088
