gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ABSLFC,FC,hgnc_symbol,entrezgene
ENSG00000164332,1067.2740774305018,0.7118528071872394,0.08591327269782582,8.285714009417012,1.1740259284400343e-16,2.604321745552273e-15,0.7118528071872394,1.6379062777049007,UBLCP1,134510
ENSG00000165119,7169.274850069703,0.6388655074410573,0.07852022921251946,8.136317403148832,4.074826633300998e-16,8.473331745819498e-15,0.6388655074410573,1.5571042172156848,HNRNPK,3190
ENSG00000181523,444.27861933385896,-0.8037364866359242,0.10391500702668847,-7.734556438315986,1.0376424044430422e-14,1.8443598049928366e-13,0.8037364866359242,-1.745616310138984,SGSH,6448
ENSG00000215301,7728.640828215405,0.6349003054436428,0.08618007357350779,7.367135802014615,1.7433287614103696e-13,2.7011911922664187e-12,0.6349003054436428,1.55283044105145,DDX3X,1654
ENSG00000058063,1657.3260018793374,0.6287566812690857,0.08655341975102632,7.264377110433354,3.747611468293509e-13,5.616586768753956e-12,0.6287566812690857,1.54623187211145,ATP11B,23200
ENSG00000072609,959.8018846584952,0.6015560653133193,0.09090562651222374,6.61736889555929,3.656482470860627e-11,4.262230569416736e-10,0.6015560653133193,1.5173522735113776,CHFR,55743
ENSG00000100897,453.1810920591369,-0.623791442676962,0.0946396882512364,-6.59122461414926,4.362133437697503e-11,5.042655166213194e-10,0.623791442676962,-1.5409194438819354,DCAF11,80344
ENSG00000101752,1342.3533395219217,0.6351247297029761,0.09667555120373436,6.569652014339305,5.0432984352138636e-11,5.771055086786883e-10,0.6351247297029761,1.5530720166573373,MIB1,57534
ENSG00000109814,359.22787677969984,0.7429519321595022,0.11337831183051447,6.5528575982866695,5.6446338847610464e-11,6.408427713105848e-10,0.7429519321595022,1.673596723394745,UGDH,7358
ENSG00000077380,1474.9526650691773,0.6004755418059972,0.09187984383122946,6.535443648652555,6.342125842369118e-11,7.136425957949701e-10,0.6004755418059972,1.5162162600554956,DYNC1I2,1781
ENSG00000124160,404.7209997415265,0.6447453212616432,0.09899951300899258,6.512611038834888,7.385557981049834e-11,8.283817565079447e-10,0.6447453212616432,1.563463263960224,NCOA5,57727
ENSG00000147419,339.5280857207928,-0.6444606139020566,0.09949167767767483,-6.477532884608986,9.32344579408466e-11,1.03740063129875e-9,0.6444606139020566,-1.5631547541462116,CCDC25,55246
ENSG00000120694,1712.8325953785813,0.7385716937603282,0.11445698551206915,6.452831956529626,1.097790681809343e-10,1.2089560681362086e-9,0.7385716937603282,1.6685231388551465,HSPH1,10808
ENSG00000166822,613.8193811871037,0.7357140789890744,0.1140323811945591,6.45179966674394,1.1052962948240232e-10,1.214346393833039e-9,0.7357140789890744,1.6652214865653308,TMEM170A,124491
ENSG00000155508,1273.3873290426523,-0.689269152083781,0.10709407790064074,-6.436108938939351,1.2257507448901997e-10,1.3361640737072622e-9,0.689269152083781,-1.6124664599070404,CNOT8,9337
ENSG00000092020,653.5422017037762,0.6472714220039346,0.10096571937195727,6.410803845406078,1.4475434547132145e-10,1.563279707710022e-9,0.6472714220039346,1.5662032230617908,PPP2R3C,55012
ENSG00000114867,4362.050549309329,0.7197827429052519,0.113071922979855,6.365707099838473,1.9439208228480207e-10,2.06933796726865e-9,0.7197827429052519,1.6469340021865677,EIF4G1,1981
ENSG00000167258,1538.6291461431185,0.6761542832851881,0.10667587552718266,6.338399192354354,2.3216466424681175e-10,2.443063874231429e-9,0.6761542832851881,1.5978747021187534,CDK12,51755
ENSG00000079332,1155.8878308847359,0.7928447192256162,0.1253601321841906,6.324536400940421,2.539939749412981e-10,2.6646450619217534e-9,0.7928447192256162,1.732487230952334,SAR1A,56681
ENSG00000197170,974.0430266026764,0.7079338530308704,0.11204916124874338,6.3180647239232215,2.6485909152883795e-10,2.7723772723945054e-9,0.7079338530308704,1.6334630868981992,PSMD12,5718
ENSG00000163950,561.8626557453158,0.6511862439802216,0.10521287692926072,6.1892257201373075,6.046045505234591e-10,5.987258547518684e-9,0.6511862439802216,1.5704589618599671,SLBP,7884
ENSG00000103657,1702.0541868851076,0.873041377530863,0.14112612962067136,6.1862489949769355,6.161266306427677e-10,6.07978421312485e-9,0.873041377530863,1.8315199013903418,HERC1,8925
ENSG00000101974,834.7900048703834,0.7260781712477735,0.11809836352177978,6.148079868302914,7.842654287384524e-10,7.61979167531121e-9,0.7260781712477735,1.6541363624807657,ATP11C,286410
ENSG00000100099,347.37120375490963,-0.6644569629127753,0.10844267355321383,-6.12726467488576,8.940268508617717e-10,8.614887189277834e-9,0.6644569629127753,-1.5849715702956861,HPS4,89781
ENSG00000139697,1637.2796210061354,0.6029506653861644,0.09910341164352723,6.0840555878637606,1.171799473797103e-9,1.1099876481935491e-8,0.6029506653861644,1.5188197511407528,SBNO1,55206
ENSG00000113575,2183.403808410818,0.5983886653443816,0.09841177339578511,6.080458106753415,1.1983966120195794e-9,1.1336425713565552e-8,0.5983886653443816,1.514024619728479,PPP2CA,5515
ENSG00000153560,1203.568407229549,0.7125443315318453,0.11766495437246141,6.055705671514804,1.3980342135401102e-9,1.3118205367535412e-8,0.7125443315318453,1.6386915604794947,UBP1,7342
ENSG00000109171,805.664320898459,0.6399540067030145,0.10618613371036381,6.0267191613602815,1.6732137206528906e-9,1.5471405595937564e-8,0.6399540067030145,1.5582794803858544,SLAIN2,57606
ENSG00000107581,5897.210934159919,0.6276512297541104,0.10426859461879569,6.019561614393991,1.7489007680749294e-9,1.610720291547821e-8,0.6276512297541104,1.5450475402722246,EIF3A,8661
ENSG00000110172,728.257673360654,0.6201807499439326,0.10360434157798346,5.98604981700617,2.1499854190206324e-9,1.9568653980166267e-8,0.6201807499439326,1.5370677427769974,CHORDC1,26973
ENSG00000174840,357.37688272778394,0.8484910551157165,0.14332213029638602,5.920167760282809,3.2161338397753207e-9,2.8509984413205237e-8,0.8484910551157165,1.8006166374255936,PDE12,201626
ENSG00000116199,772.0073763628837,0.6455030811073591,0.10952970665195294,5.89340646331266,3.783142877641983e-9,3.3240675423009186e-8,0.6455030811073591,1.5642846716976535,FAM20B,9917
ENSG00000144580,733.7077561433214,0.5987516396769795,0.10183221527825302,5.879786058281373,4.107970893875113e-9,3.5976584065170826e-8,0.5987516396769795,1.5144055881232406,CNOT9,9125
ENSG00000196323,663.0786699798343,-0.6203533968046302,0.10566524477236369,-5.870931337367053,4.3335373514249624e-9,3.7791154165270316e-8,0.6203533968046302,-1.5372516941956613,ZBTB44,29068
ENSG00000183520,396.8002636713868,0.7314852593949105,0.12483285427492533,5.859717488986719,4.6365527823834015e-9,4.023247572922612e-8,0.7314852593949105,1.6603475454286,UTP11,51118
ENSG00000166887,1303.7507333508693,-0.60943710646265,0.10409640526415335,-5.854545168165532,4.783172077698677e-9,4.140173697278514e-8,0.60943710646265,-1.525663827510136,VPS39,23339
ENSG00000109618,418.09320944211055,-0.7408440840304735,0.1269052873762239,-5.837771611786074,5.290360740499302e-9,4.542547902288416e-8,0.7408440840304735,-1.671153302010064,SEPSECS,51091
ENSG00000131931,197.9488293029799,0.8525154260976452,0.14627313230439198,5.828243455698854,5.6013822808137536e-9,4.7948519609935154e-8,0.8525154260976452,1.8056464360469524,THAP1,55145
ENSG00000082153,1871.4661284236793,0.8334624509745184,0.14562955396577065,5.723168328665064,1.045555782279497e-8,8.571468760367698e-8,0.8334624509745184,1.7819569098844519,BZW1,9689
ENSG00000066557,552.1634745310802,0.9093306439278782,0.16027661651449862,5.673507862237784,1.3990267694320015e-8,1.1283595672765733e-7,0.9093306439278782,1.8781738944166064,LRRC40,55631
ENSG00000077721,1327.3816402845212,0.5907547536412816,0.10414950568873042,5.672180100468827,1.409916355299081e-8,1.1364854364811136e-7,0.5907547536412816,1.506034431335365,UBE2A,7319
ENSG00000101266,1686.1684412645022,0.5916687915447157,0.10502308249037033,5.633702396794214,1.763812931537427e-8,1.4007104060183107e-7,0.5916687915447157,1.50698890104641,CSNK2A1,1457
ENSG00000255529,365.8441520434514,-0.6394853167033028,0.11426748419762012,-5.596389219503107,2.1886205834335937e-8,1.7185043894568899e-7,0.6394853167033028,-1.5577733225586365,POLR2M,81488
ENSG00000174796,246.68570979849744,-0.7185103752583715,0.12883604986881186,-5.576935772169352,2.447921980512114e-8,1.9102827401613828e-7,0.7185103752583715,-1.645482148745525,THAP6,152815
ENSG00000198954,505.9990204715122,0.8807022598890956,0.15844011948472547,5.55858113938118,2.7197651624716542e-8,2.1071006836183783e-7,0.8807022598890956,1.841271357814081,KIF1BP,26128
