"Pathway","Total","Expected","Hits","P.Value","FDR"
"Immune System",1140,286,516,6.14e-61,8.61e-58
"Adaptive Immune System",654,164,299,9.79e-34,6.86e-31
"Cytokine Signaling in Immune system",286,71.8,163,8.07e-32,3.77e-29
"Apoptosis",158,39.7,108,6.64e-31,2.33e-28
"Innate Immune System",521,131,246,3.57e-30,1e-27
"Signaling by Interleukins",116,29.1,84,4.98e-27,1.16e-24
"Signaling by the B Cell Receptor (BCR)",199,50,118,2.93e-25,5.87e-23
"Disease",945,237,368,1.93e-24,3.39e-22
"Toll-Like Receptors Cascades",123,30.9,83,2.22e-23,3.46e-21
"Toll Like Receptor 4 (TLR4) Cascade",103,25.9,73,1.06e-22,1.49e-20
"Activated TLR4 signalling",100,25.1,70,2.58e-21,3.28e-19
"Metabolism of RNA",339,85.1,162,1.63e-20,1.9e-18
"Downstream Signaling Events Of B Cell Receptor (BCR)",173,43.5,100,2.11e-20,2.28e-18
"TRIF-mediated TLR3/TLR4 signaling ",87,21.9,60,6.15e-18,6.16e-16
"Metabolism of mRNA",317,79.6,148,1.24e-17,1.15e-15
"MyD88-independent cascade ",88,22.1,60,1.47e-17,1.21e-15
"Toll Like Receptor 3 (TLR3) Cascade",88,22.1,60,1.47e-17,1.21e-15
"Degradation of beta-catenin by the destruction complex",65,16.3,49,1.84e-17,1.36e-15
"Signaling by Wnt",65,16.3,49,1.84e-17,1.36e-15
"Host Interactions of HIV factors",141,35.4,82,3.8e-17,2.66e-15
"Activation of NF-kappaB in B Cells",66,16.6,49,5.42e-17,3.61e-15
"G1/S DNA Damage Checkpoints",62,15.6,47,5.76e-17,3.61e-15
"MyD88:Mal cascade initiated on plasma membrane",81,20.3,56,6.7e-17,3.61e-15
"Toll Like Receptor TLR1:TLR2 Cascade",81,20.3,56,6.7e-17,3.61e-15
"Toll Like Receptor TLR6:TLR2 Cascade",81,20.3,56,6.7e-17,3.61e-15
"Toll Like Receptor 2 (TLR2) Cascade",81,20.3,56,6.7e-17,3.61e-15
"Mitotic G1-G1/S phases",140,35.2,81,9.08e-17,4.71e-15
"Switching of origins to a post-replicative state",69,17.3,50,1.41e-16,6.82e-15
"Orc1 removal from chromatin",69,17.3,50,1.41e-16,6.82e-15
"p53-Dependent G1/S DNA damage checkpoint",59,14.8,45,1.79e-16,7.87e-15
