"Pathway","Total","Expected","Hits","P.Value","FDR"
"Immune System",1140,135,275,3.53e-38,4.95e-35
"Toll Like Receptor 4 (TLR4) Cascade",103,12.3,57,7.14e-27,4.18e-24
"Activated TLR4 signalling",100,11.9,56,8.94e-27,4.18e-24
"TRIF-mediated TLR3/TLR4 signaling ",87,10.4,50,1.02e-24,3.57e-22
"MyD88-independent cascade ",88,10.5,50,2.1e-24,4.59e-22
"Toll Like Receptor 3 (TLR3) Cascade",88,10.5,50,2.1e-24,4.59e-22
"Toll-Like Receptors Cascades",123,14.6,60,2.29e-24,4.59e-22
"Cytokine Signaling in Immune system",286,34.1,96,4.4e-23,7.7e-21
"Innate Immune System",521,62,140,1.02e-22,1.58e-20
"Signaling by Interleukins",116,13.8,54,8.16e-21,1.14e-18
"Adaptive Immune System",654,77.9,157,4.58e-20,5.84e-18
"RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways",67,7.98,39,8.47e-20,9.9e-18
"Toll Like Receptor 10 (TLR10) Cascade",74,8.81,37,6.68e-16,6.24e-14
"Toll Like Receptor 5 (TLR5) Cascade",74,8.81,37,6.68e-16,6.24e-14
"MyD88 cascade initiated on plasma membrane",74,8.81,37,6.68e-16,6.24e-14
"Toll Like Receptor 7/8 (TLR7/8) Cascade",77,9.17,37,3.47e-15,2.64e-13
"MyD88 dependent cascade initiated on endosome",77,9.17,37,3.47e-15,2.64e-13
"MyD88:Mal cascade initiated on plasma membrane",81,9.64,38,3.95e-15,2.64e-13
"Toll Like Receptor TLR1:TLR2 Cascade",81,9.64,38,3.95e-15,2.64e-13
"Toll Like Receptor TLR6:TLR2 Cascade",81,9.64,38,3.95e-15,2.64e-13
"Toll Like Receptor 2 (TLR2) Cascade",81,9.64,38,3.95e-15,2.64e-13
"Toll Like Receptor 9 (TLR9) Cascade",79,9.41,37,9.81e-15,6.25e-13
"TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation",76,9.05,36,1.46e-14,8.88e-13
"Interleukin-1 signaling",45,5.36,27,1.54e-14,8.98e-13
"Signaling by the B Cell Receptor (BCR)",199,23.7,60,2.11e-12,1.18e-10
"Negative regulators of RIG-I/MDA5 signaling",33,3.93,21,2.67e-12,1.44e-10
"Class I MHC mediated antigen processing & presentation",267,31.8,72,5.26e-12,2.73e-10
