"","gene","log2FoldChange","padj","hgnc_symbol"
"1","ENSG00000254087",1.51149464137165,1.01909108771274e-29,"LYN"
"2","ENSG00000115919",1.59617985276592,1.24522985444852e-25,"KYNU"
"3","ENSG00000005844",1.55522455307894,3.71839741665656e-15,"ITGAL"
"4","ENSG00000141753",-1.69711884089781,2.71530975518302e-13,"IGFBP4"
"5","ENSG00000173391",1.68333652739764,6.51925382172781e-13,"OLR1"
"6","ENSG00000172175",-1.5351375542218,2.01152654453747e-12,"MALT1"
"7","ENSG00000158517",1.87160007026438,3.13555735753047e-12,"NCF1"
"8","ENSG00000125538",2.15502321285116,5.10099800578624e-12,"IL1B"
"9","ENSG00000160285",1.69313328570194,8.93094614649364e-11,"LSS"
"10","ENSG00000275832",-2.26159947185819,8.93094614649364e-11,"ARHGAP23"
"11","ENSG00000178199",1.62959999014104,3.25296761192484e-10,"ZC3H12D"
"12","ENSG00000140379",2.03862460773866,4.4709977455809e-10,"BCL2A1"
"13","ENSG00000105711",-1.71202438873282,4.82297600167418e-10,"SCN1B"
"14","ENSG00000187037",1.66032206914262,4.96599069967546e-10,"GPR141"
"15","ENSG00000101336",1.75415845287047,2.030643126423e-09,"HCK"
"16","ENSG00000162734",1.70341359605231,6.57502336145610e-09,"PEA15"
"17","ENSG00000158481",1.51564058762715,4.46915223880344e-08,"CD1C"
"18","ENSG00000177674",1.80877280737188,5.85648996317222e-08,"AGTRAP"
"19","ENSG00000196924",1.83947493178191,1.37725649351984e-07,"FLNA"
"20","ENSG00000100100",-1.51830504759672,1.39473699014848e-07,"PIK3IP1"
"21","ENSG00000139970",1.64890857272008,1.93022697056572e-07,"RTN1"
"22","ENSG00000107968",1.72622623684068,4.90335735751857e-07,"MAP3K8"
"23","ENSG00000078081",3.16693500067532,4.9656709699108e-07,"LAMP3"
"24","ENSG00000126217",-1.67187389817431,5.06105076184155e-07,"MCF2L"
"25","ENSG00000198785",1.53587735462308,9.21645962804156e-07,"GRIN3A"
"26","ENSG00000134575",1.51686239863648,1.18403343767183e-06,"ACP2"
"27","ENSG00000173482",-1.85333962552446,2.03146726673799e-06,"PTPRM"
"28","ENSG00000085117",1.5047767578338,2.12315490757276e-06,"CD82"
"29","ENSG00000155792",-1.80465847906786,2.32458433175484e-06,"DEPTOR"
"30","ENSG00000133466",-1.89432589261193,2.77183282606919e-06,"C1QTNF6"
"31","ENSG00000134028",1.65649543563429,3.25466192720989e-06,"ADAMDEC1"
"32","ENSG00000090530",-1.56840595404414,3.83565192824051e-06,"P3H2"
"33","ENSG00000185010",-1.51176144435596,4.54209054807432e-06,"F8"
"34","ENSG00000186439",-1.52446264353346,4.62763456985359e-06,"TRDN"
"35","ENSG00000149948",-1.88910860600059,1.3276125480013e-05,"HMGA2"
"36","ENSG00000175489",1.59611401370034,2.46244308400167e-05,"LRRC25"
"37","ENSG00000181019",1.61313973424863,2.758009271597e-05,"NQO1"
"38","ENSG00000125430",1.83954207103301,2.79762847669184e-05,"HS3ST3B1"
"39","ENSG00000112902",-2.4285416032415,3.25870112571165e-05,"SEMA5A"
"40","ENSG00000165028",-1.69694528259092,4.97752910125803e-05,"NIPSNAP3B"
"41","ENSG00000186431",3.51742339899572,5.86505180269789e-05,"FCAR"
"42","ENSG00000174080",-1.92454856519014,0.000102073704450179,"CTSF"
"43","ENSG00000171049",1.54608089953792,0.000112916703991168,"FPR2"
"44","ENSG00000166866",1.71252351349113,0.000121403305492238,"MYO1A"
"45","ENSG00000158715",-1.70671587639086,0.000124364145862055,"SLC45A3"
"46","ENSG00000099256",-1.59361706073943,0.000170424820706463,"PRTFDC1"
"47","ENSG00000232810",1.65543193602494,0.000214110122624443,"TNF"
"48","ENSG00000126759",2.50753354196424,0.000245069408149221,"CFP"
"49","ENSG00000123689",1.91573940340892,0.000353086951606033,"G0S2"
"50","ENSG00000073756",1.50172320352197,0.000386838194245994,"PTGS2"
"51","ENSG00000125148",3.59616094957877,0.000494787091151747,"MT2A"
"52","ENSG00000188056",1.75363026999855,0.00049995438348887,"TREML4"
