"","gene","log2FoldChange","padj","hgnc_symbol"
"1","ENSG00000063046",-0.70945280111665,4.66311763700826e-13,"EIF4B"
"2","ENSG00000187037",1.66032206914262,4.96599069967546e-10,"GPR141"
"3","ENSG00000150977",0.725786013855395,3.6476120191888e-09,"RILPL2"
"4","ENSG00000156515",0.684972377549969,6.98807194855029e-09,"HK1"
"5","ENSG00000164111",0.599999017722263,7.93452269785738e-09,"ANXA5"
"6","ENSG00000198954",0.871491723631633,4.14389290526013e-08,"KIF1BP"
"7","ENSG00000104408",-0.745515040357687,4.31559689935983e-08,"EIF3E"
"8","ENSG00000089006",-0.669542069059749,9.87356261700074e-08,"SNX5"
"9","ENSG00000170275",-0.744828677221884,3.65645052522142e-07,"CRTAP"
"10","ENSG00000163466",0.662344325798322,3.90203216515787e-07,"ARPC2"
"11","ENSG00000017260",0.823493716281758,4.24296604797086e-07,"ATP2C1"
"12","ENSG00000078081",3.16693500067532,4.9656709699108e-07,"LAMP3"
"13","ENSG00000082397",0.842211823628262,4.97268402085192e-07,"EPB41L3"
"14","ENSG00000101236",0.847932429636183,9.56323528836791e-07,"RNF24"
"15","ENSG00000169764",0.659341676376309,1.08625634927422e-06,"UGP2"
"16","ENSG00000163932",0.637360368235142,1.30084171132659e-06,"PRKCD"
"17","ENSG00000084070",0.693055590963084,1.99054925265554e-06,"SMAP2"
"18","ENSG00000183020",-0.675450165874061,2.32189260785727e-06,"AP2A2"
"19","ENSG00000204387",-0.734274310149557,2.77319625551734e-06,"C6orf48"
"20","ENSG00000159399",0.853859072051431,3.83565192824051e-06,"HK2"
"21","ENSG00000067225",0.750515047819428,3.9031457006552e-06,"PKM"
"22","ENSG00000107863",-0.815881776718978,3.96273714827636e-06,"ARHGAP21"
"23","ENSG00000147459",0.778500130774766,6.63690583169187e-06,"DOCK5"
"24","ENSG00000132640",-0.780545204216751,8.65850397550897e-06,"BTBD3"
"25","ENSG00000100129",-0.607580760530033,9.30369092295833e-06,"EIF3L"
"26","ENSG00000259330",-0.61090492852673,1.5232602742002e-05,"INAFM2"
"27","ENSG00000117143",-0.846100453280703,1.6640180126052e-05,"UAP1"
"28","ENSG00000136040",0.915772886661051,3.00774957297316e-05,"PLXNC1"
"29","ENSG00000112902",-2.4285416032415,3.25870112571165e-05,"SEMA5A"
"30","ENSG00000159110",0.646045536160131,3.46131135165442e-05,"IFNAR2"
"31","ENSG00000105609",-0.874402021286722,3.48123711074815e-05,"LILRB5"
"32","ENSG00000104419",0.827355573173984,3.55259790930774e-05,"NDRG1"
"33","ENSG00000170873",-0.675135952584584,3.69438021017847e-05,"MTSS1"
"34","ENSG00000101337",0.785637928808422,4.48670403733953e-05,"TM9SF4"
"35","ENSG00000165028",-1.69694528259092,4.97752910125803e-05,"NIPSNAP3B"
"36","ENSG00000125753",0.746010362573804,5.00189212205333e-05,"VASP"
"37","ENSG00000092841",0.663177703052804,5.40740869811586e-05,"MYL6"
"38","ENSG00000132356",0.59567325353114,5.81604921316125e-05,"PRKAA1"
"39","ENSG00000261371",0.609875632252124,5.8331320973162e-05,"PECAM1"
"40","ENSG00000186431",3.51742339899572,5.86505180269789e-05,"FCAR"
"41","ENSG00000054277",0.875435366597509,6.35394524861012e-05,"OPN3"
"42","ENSG00000165097",0.613491389958357,6.88037180788865e-05,"KDM1B"
"43","ENSG00000198879",-0.723313347463245,7.21917734635228e-05,"SFMBT2"
"44","ENSG00000010278",-1.28049059032649,7.99381525232746e-05,"CD9"
"45","ENSG00000171049",1.54608089953792,0.000112916703991168,"FPR2"
"46","ENSG00000104081",-0.877622678849293,0.000114307884906512,"BMF"
"47","ENSG00000028137",0.588383778351806,0.00012040658109333,"TNFRSF1B"
"48","ENSG00000113273",0.809390089008099,0.000120518369041552,"ARSB"
"49","ENSG00000166866",1.71252351349113,0.000121403305492238,"MYO1A"
"50","ENSG00000197818",0.63562836361267,0.000126653560290285,"SLC9A8"
"51","ENSG00000076770",-0.751277586487164,0.000135769109865246,"MBNL3"
"52","ENSG00000146376",-0.651313527426648,0.000141434494239543,"ARHGAP18"
"53","ENSG00000100284",0.869352186597315,0.000150928261251047,"TOM1"
"54","ENSG00000092108",0.591549915853401,0.000157061621924641,"SCFD1"
