"","gene","log2FoldChange","padj","hgnc_symbol"
"1","ENSG00000120008",0.609609307161047,1.53253849849389e-06,"WDR11"
"2","ENSG00000119729",0.621900904474761,2.19409103233519e-06,"RHOQ"
"3","ENSG00000155849",-0.606106404763283,2.45677931862258e-06,"ELMO1"
"4","ENSG00000075240",-0.642824113242988,4.4382496522924e-05,"GRAMD4"
"5","ENSG00000168404",-1.30000463315057,5.99561167616354e-05,"MLKL"
"6","ENSG00000148429",0.733580276148273,7.42344586700784e-05,"USP6NL"
"7","ENSG00000099282",-0.596157058049807,8.76137223374795e-05,"TSPAN15"
"8","ENSG00000057704",-1.5749980319808,0.000121131237507813,"TMCC3"
"9","ENSG00000134250",0.746257708091788,0.000228072460504749,"NOTCH2"
"10","ENSG00000164163",0.669839376879595,0.00029162920684802,"ABCE1"
"11","ENSG00000106701",0.970430924967182,0.000419231261567082,"FSD1L"
"12","ENSG00000068097",0.614019849634012,0.000488925123361314,"HEATR6"
"13","ENSG00000128284",2.21459867668253,0.000513701704192668,"APOL3"
"14","ENSG00000115902",-0.679448692291894,0.000520439499036588,"SLC1A4"
"15","ENSG00000104856",1.21840300759629,0.000526560547181675,"RELB"
"16","ENSG00000143179",0.935403297100233,0.000714068897016564,"UCK2"
"17","ENSG00000137393",1.14556380799166,0.000746793661020269,"RNF144B"
"18","ENSG00000124588",-0.741064412678982,0.000900623174827921,"NQO2"
"19","ENSG00000119917",1.28827061046182,0.00111857148042313,"IFIT3"
"20","ENSG00000198833",0.652489380746048,0.00117346252966085,"UBE2J1"
"21","ENSG00000107562",2.63980890338782,0.00126178139989958,"CXCL12"
"22","ENSG00000141497",1.17488405476981,0.00127356969992329,"ZMYND15"
"23","ENSG00000136560",0.667903370875614,0.00135977012841371,"TANK"
"24","ENSG00000136854",-0.71027033610411,0.00149081691337496,"STXBP1"
"25","ENSG00000150540",0.646574570993103,0.00153296444612296,"HNMT"
"26","ENSG00000185291",-1.50801766172956,0.00167970423571274,"IL3RA"
"27","ENSG00000187554",-0.670950073577431,0.00168213960353574,"TLR5"
"28","ENSG00000116991",-0.630965374463554,0.00170168681344702,"SIPA1L2"
"29","ENSG00000117115",-1.81394972801378,0.00185699945217443,"PADI2"
"30","ENSG00000029993",-0.790168739307377,0.00191383210267235,"HMGB3"
"31","ENSG00000135048",-0.647031728449035,0.00193449804249801,"CEMIP2"
"32","ENSG00000139083",0.641445354112351,0.00247849250992577,"ETV6"
"33","ENSG00000105472",-0.907650709212865,0.00306154478708478,"CLEC11A"
"34","ENSG00000173269",-1.51358848439293,0.0031627212503914,"MMRN2"
"35","ENSG00000185561",-0.938217217839226,0.0033656233236267,"TLCD2"
"36","ENSG00000148154",0.639606584114243,0.00344551045244237,"UGCG"
"37","ENSG00000113555",-1.90178996355447,0.00353647319404623,"PCDH12"
"38","ENSG00000071575",-1.63836934441564,0.00364344140502628,"TRIB2"
"39","ENSG00000003436",-1.03841926630131,0.00450021170423198,"TFPI"
"40","ENSG00000116120",0.711684629882008,0.00456574041732417,"FARSB"
"41","ENSG00000077044",-0.726997202563646,0.00493380305040972,"DGKD"
"42","ENSG00000164687",0.739582823498434,0.00578195344156967,"FABP5"
"43","ENSG00000058866",2.49340286394998,0.00600434862444787,"DGKG"
"44","ENSG00000101160",0.61877577671152,0.00619895890554637,"CTSZ"
"45","ENSG00000065413",-0.692536103839304,0.0063212317327868,"ANKRD44"
"46","ENSG00000188921",-1.21085141289782,0.00690522130742376,"HACD4"
"47","ENSG00000177409",1.31044780834302,0.00692344067109175,"SAMD9L"
"48","ENSG00000139626",-1.01121142228552,0.00747448892632819,"ITGB7"
"49","ENSG00000148680",1.00237731938076,0.0079378983944338,"HTR7"
"50","ENSG00000151617",3.66708780576275,0.00804137120330154,"EDNRA"
"51","ENSG00000111725",-0.779971663864247,0.00842290548313795,"PRKAB1"
"52","ENSG00000156869",-0.935286615055163,0.00869653887833695,"FRRS1"
"53","ENSG00000155324",0.640055991524183,0.00905544981917694,"GRAMD2B"
"54","ENSG00000196083",-0.643292703994161,0.00928316769202244,"IL1RAP"
"55","ENSG00000058056",0.692026863629878,0.0096298263811361,"USP13"
"56","ENSG00000166562",0.597022429581395,0.0100232722675638,"SEC11C"
"57","ENSG00000162433",1.61616461404655,0.0106783040184356,"AK4"
"58","ENSG00000029559",4.33906426886357,0.0109603090611301,"IBSP"
"59","ENSG00000139567",-1.19682262860503,0.0109857959591459,"ACVRL1"
