gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ABSLFC,FC,hgnc_symbol,entrezgene
ENSG00000004468,622.1383166736825,5.7970696783526385,0.2932981686069786,19.765106975900515,5.947215626170686e-87,8.043014412833236e-83,5.7970696783526385,55.602185223196116,CD38,952
ENSG00000112096,75688.06595417448,2.8024605443547936,0.19174872155744696,14.615276292807984,2.24442038419095e-48,1.5176770637899205e-44,2.8024605443547936,6.97629256801798,SOD2,6648
ENSG00000111348,6395.649069342005,1.224601630242665,0.08753851277597748,13.989289872636757,1.8121227959903155e-44,7.492110661183969e-41,1.224601630242665,2.3369091199387513,ARHGDIB,397
ENSG00000174837,283.25967729922866,4.304186918390581,0.30799248127810064,13.974974001083266,2.2159451822490297e-44,7.492110661183969e-41,4.304186918390581,19.755561113620804,ADGRE1,2015
ENSG00000100985,2824.832394691832,4.393324230887854,0.3186776857347323,13.786105609367524,3.089960649335478e-43,8.357725564322602e-40,4.393324230887854,21.014660305116596,MMP9,4318
ENSG00000160307,4740.228389761063,2.6706038900996125,0.20275915813338938,13.171310803839004,1.2834973354785486e-39,2.8930029941686486e-36,2.6706038900996125,6.366956423000896,S100B,6285
ENSG00000026751,4308.998603499685,3.3617129585660344,0.2568555789429246,13.087949938253178,3.8588278479339685e-39,7.455255402208427e-36,3.3617129585660344,10.279605245863474,SLAMF7,57823
ENSG00000125730,3042.6623163025997,2.902629699003797,0.2221183931060327,13.067939392205886,5.0207182093914075e-39,8.487524132976174e-36,2.902629699003797,7.477881964583566,C3,718
ENSG00000196839,1221.4275103115483,2.5944162774838126,0.20467529159046366,12.675766856485051,8.056688269047778e-37,1.210651690562246e-33,2.5944162774838126,6.039446253964876,ADA,100
ENSG00000166523,263.233158614974,5.0564212708772125,0.40102692562956616,12.608682728570438,1.8912766371725402e-36,2.5577625241121437e-33,5.0564212708772125,33.27625726474623,CLEC4E,26253
ENSG00000115828,471.6401699681919,3.9893652069309318,0.3221443617292851,12.383780940680891,3.1990900873208485e-35,3.933135849175196e-32,3.9893652069309318,15.882490013874385,QPCT,25797
ENSG00000154310,1641.3211661710563,2.0270069017819914,0.16511113255949691,12.276621632714985,1.2094397989696603e-34,1.3630386534388071e-31,2.0270069017819914,4.075584283814656,TNIK,23043
ENSG00000166920,1372.7100604053512,4.030236444013891,0.33212456586227834,12.134713472791121,6.9151630750334176e-34,7.19389734051938e-31,4.030236444013891,16.33887157775352,C15orf48,84419
ENSG00000254087,8461.088217650546,1.5114946413716546,0.12691408929537737,11.909588996489047,1.0549597181291318e-32,1.0190910877127413e-29,1.5114946413716546,2.85105257055177,LYN,4067
ENSG00000271503,403.9022037648792,3.0906790495575436,0.26224454939852465,11.78548441386569,4.6374618710225797e-32,4.181135622913958e-29,3.0906790495575436,8.518970235993251,CCL5,6352
ENSG00000155629,7951.505445905264,1.5639014560405824,0.13431583925825683,11.643462637593908,2.4774891919034118e-31,2.094097739456359e-28,1.5639014560405824,2.956522908970635,PIK3AP1,118788
ENSG00000112303,420.9561160282949,3.9640740323372636,0.3429755119360677,11.557892311204382,6.734139086980819e-31,5.357205706607565e-28,3.9640740323372636,15.606488215610588,VNN2,8875
ENSG00000108691,4820.782552069728,3.5493530954944523,0.3180374746831257,11.160172552089417,6.386749209430439e-29,4.798577572685404e-26,3.5493530954944523,11.707434776272441,CCL2,6347
ENSG00000115919,3900.0973085039077,1.596179852765916,0.14418664317115812,11.070233814037515,1.7494356133186812e-28,1.245229854448518e-25,1.596179852765916,3.0234167456878973,KYNU,8942
ENSG00000175040,388.66631583799096,2.616095991684179,0.24192594266395287,10.813623222367953,2.967143096375028e-27,2.006382161768794e-24,2.616095991684179,6.1308877542473414,CHST2,9435
ENSG00000153898,227.49627248552702,4.216547943832669,0.39150112685390087,10.770206404555731,4.7593303062970384e-27,3.065008717255293e-24,4.216547943832669,18.591199413998513,MCOLN2,255231
ENSG00000182541,513.1569968311541,1.7790351425631705,0.16964077590745327,10.487072657187767,9.904969395323992e-26,6.088854822834621e-23,1.7790351425631705,3.431965719841712,LIMK2,3985
ENSG00000145390,562.0756800065831,-1.3522297874716138,0.12923031557563242,-10.463719611364853,1.2677888656648087e-25,7.454598530109075e-23,1.3522297874716138,-2.553064148494324,USP53,54532
ENSG00000090376,1182.448574432495,1.9817478781951383,0.19517998241351392,10.153438143039434,3.1989098481658454e-24,1.802585699441454e-21,1.9817478781951383,3.9497131433989483,IRAK3,11213
ENSG00000169413,1653.0328637478433,-1.2142021803308976,0.12144896696682977,-9.997632838347002,1.560833873466888e-23,8.443486921906478e-21,1.2142021803308976,-2.320124430151789,RNASE6,6039
ENSG00000105246,180.84212950446002,3.947490991654717,0.3981354585660147,9.914944541419652,3.584554700416844e-23,1.8645199141706692e-20,3.947490991654717,15.42812667682374,EBI3,10148
ENSG00000110042,368.61675358846776,1.8846993696115666,0.19040183084143097,9.898535960933946,4.2241326624961064e-23,2.1158211158369387e-20,1.8846993696115666,3.692759661394314,DTX4,23220
ENSG00000110031,1599.2875448748966,1.4884200520894166,0.15561595504745443,9.564700815128688,1.1252646516672538e-21,5.248249184244504e-19,1.4884200520894166,2.8058153177236735,LPXN,9404
ENSG00000175471,1557.4347042070146,1.1503442554687142,0.12026991588242876,9.56468828491779,1.1254009637909687e-21,5.248249184244504e-19,1.1503442554687142,2.219668537604718,MCTP1,79772
ENSG00000196141,824.7812607598656,-1.4416539352991173,0.15346626046042577,-9.39394711889051,5.779292570252154e-21,2.6053050906696712e-18,1.4416539352991173,-2.7163209168003846,SPATS2L,26010
ENSG00000115091,10919.332655029213,0.9070388536292171,0.09718848707323119,9.332780877078234,1.0312888528999074e-20,4.4990807892317245e-18,0.9070388536292171,1.8751926935803274,ACTR3,10096
ENSG00000026508,15189.744810526658,1.3874616218305933,0.1493531180654164,9.289806867124712,1.545685397287714e-20,6.5324529102872014e-18,1.3874616218305933,2.61617966706422,CD44,960
ENSG00000130707,201.0964038108196,3.155351054217698,0.34209974168072355,9.223482715057232,2.876037183831464e-20,1.1786523295192944e-17,3.155351054217698,8.90954066057854,ASS1,445
ENSG00000160213,3667.2484440834896,1.4440710028184767,0.1571576700228496,9.188676585804046,3.977039813853153e-20,1.581926071839707e-17,1.4440710028184767,2.7208756105076497,CSTB,1476
ENSG00000150938,2660.9466411394333,1.515318201756266,0.16529966513090433,9.16709783142182,4.859247286766297e-20,1.877613151606497e-17,1.515318201756266,2.8586187087567767,CRIM1,51232
ENSG00000170956,77.91268879668709,5.326521554017508,0.5824980228003971,9.144274049909919,6.003169416942935e-20,2.2551906442982294e-17,5.326521554017508,40.12756069504764,CEACAM3,1084
ENSG00000112297,1200.698737589321,1.163217873064171,0.12725041654191427,9.141171437195457,6.177944274577954e-20,2.2581221180916826e-17,1.163217873064171,2.2395639664668745,CRYBG1,202
ENSG00000117009,769.6735653870726,2.326786798240807,0.2556004768391991,9.103217752229048,8.769436909507514e-20,3.1209964411626214e-17,2.326786798240807,5.016867369645024,KMO,8564
ENSG00000182287,2228.5549339548993,1.4897665442543975,0.16379950267744497,9.095061461743601,9.453298739766593e-20,3.2781131322206003e-17,1.4897665442543975,2.8084352559804535,AP1S2,8905
ENSG00000198842,130.76819182081996,-2.9500332022109803,0.326107895157167,-9.046187614651949,1.4804698063441932e-19,5.0054684152497174e-17,2.9500332022109803,-7.727668474060861,DUSP27,92235
ENSG00000143546,706.6615215293008,3.241050184466153,0.3592024987386802,9.022905452626087,1.8316563662548495e-19,6.0417855359099e-17,3.241050184466153,9.454821257803834,S100A8,6279
ENSG00000133048,1425.673123983365,5.556307573230291,0.617912772847008,8.992058130842368,2.42643319856278e-19,7.813114899372151e-17,5.556307573230291,47.056025734783276,CHI3L1,1116
ENSG00000151726,18889.48429109137,1.8811368507572348,0.20992146952935714,8.961145589227886,3.2132247083480163e-19,1.0105965338534552e-16,1.8811368507572348,3.6836521950836913,ACSL1,2180
ENSG00000106066,4426.6409048412515,-1.336914958949806,0.14983416760526308,-8.922630801219503,4.553406443373031e-19,1.3995515622767471e-16,1.336914958949806,-2.52610561557176,CPVL,54504
ENSG00000103569,714.2201590908606,4.26562430382922,0.4929337133342054,8.653545473642941,4.99237383019733e-18,1.5003747484353043e-15,4.26562430382922,19.234498421656625,AQP9,366
ENSG00000106780,874.5912907683781,1.4828530693676667,0.17176662337540013,8.63295231767382,5.97883639676494e-18,1.7577779006488924e-15,1.4828530693676667,2.7950092727347635,MEGF9,1955
ENSG00000123240,1208.8039075968454,2.06885902912809,0.23978536193815425,8.62796215918173,6.245473391921678e-18,1.7971017479223144e-15,2.06885902912809,4.1955473283940155,OPTN,10133
ENSG00000101916,1268.6085195639803,1.6879391479882744,0.19629983885514227,8.598780100038056,8.056789280109834e-18,2.2700003796709457e-15,1.6879391479882744,3.2219612609348958,TLR8,51311
ENSG00000182578,5763.761486288713,-0.8561824734264047,0.09980574103681664,-8.578489218476657,9.612732490479578e-18,2.6531141673723638e-15,0.8561824734264047,-1.810241872382342,CSF1R,1436
ENSG00000005844,717.1266290268893,1.5552245530789406,0.18216962472607218,8.53723311675877,1.3747402457322396e-17,3.718397416656562e-15,1.5552245530789406,2.9387946494500956,ITGAL,3683
ENSG00000196878,370.2634996699696,2.405049121226292,0.28509734109218515,8.435887588473259,3.286986076143864e-17,8.716313665445023e-15,2.405049121226292,5.296535976237025,LAMB3,3914
ENSG00000011028,486.39164487279504,-2.360166681818539,0.2806833874755283,-8.408643999368552,4.147779592173815e-17,1.0787417539338207e-14,2.360166681818539,-5.1342967471276655,NA,9902
ENSG00000163106,480.6160655710441,-1.5876222768126647,0.18935741176616777,-8.3842626597219,5.1044699996420776e-17,1.3025066467011218e-14,1.5876222768126647,-3.005535950412433,HPGDS,27306
ENSG00000179630,18662.15808426448,1.0964927672311708,0.1325494672383199,8.272328739426092,1.313674866290343e-16,3.290025720687148e-14,1.0964927672311708,2.138342230339224,LACC1,144811
