gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ABSLFC,FC,hgnc_symbol,entrezgene
ENSG00000125538,13521.162055465647,7.074248401485606,0.3084559355793162,22.934388953155796,2.1095009107495432e-116,2.8528890316976824e-112,7.074248401485606,134.75998861710573,IL1B,3553
ENSG00000145901,2242.61335029069,3.1418465243193645,0.15750133308480707,19.948063059425838,1.558084888656451e-88,1.0535770017094922e-84,3.1418465243193645,8.826530893129148,TNIP1,10318
ENSG00000153071,8550.544473915328,-2.7968060447135548,0.14049801662974928,-19.906373853546302,3.583317373744635e-88,1.6153594720840814e-84,2.7968060447135548,-6.9490031974720585,DAB2,1601
ENSG00000102096,434.8237884129747,4.699956243252296,0.24390387503835934,19.269707143902995,9.648043873029741e-83,3.2620036334713553e-79,4.699956243252296,25.991288359143773,PIM2,11040
ENSG00000276085,758.1198447484352,6.468592824869809,0.3406727294162683,18.98770364142012,2.1555049459962125e-80,5.830209777930556e-77,6.468592824869809,88.56058364317917,CCL3L1,6349
ENSG00000276085,758.1198447484352,6.468592824869809,0.3406727294162683,18.98770364142012,2.1555049459962125e-80,5.830209777930556e-77,6.468592824869809,88.56058364317917,CCL3L1,414062
ENSG00000276085,758.1198447484352,6.468592824869809,0.3406727294162683,18.98770364142012,2.1555049459962125e-80,5.830209777930556e-77,6.468592824869809,88.56058364317917,CCL3L3,6349
ENSG00000276085,758.1198447484352,6.468592824869809,0.3406727294162683,18.98770364142012,2.1555049459962125e-80,5.830209777930556e-77,6.468592824869809,88.56058364317917,CCL3L3,414062
ENSG00000115919,3900.0973085039077,2.953155844846223,0.15694018561820405,18.817078833017998,5.471942383133125e-79,1.0571792684213198e-75,2.953155844846223,7.744412747884638,KYNU,8942
ENSG00000175040,388.66631583799096,4.7142578247906215,0.2505036002179254,18.819122043313776,5.2649747101245426e-79,1.0571792684213198e-75,4.7142578247906215,26.25022393048212,CHST2,9435
ENSG00000277632,2656.788323569687,5.994907113785394,0.31937098963247057,18.77098205032424,1.3045157983300005e-78,2.2052839570768657e-75,5.994907113785394,63.774470644903126,CCL3,6348
ENSG00000158470,1271.523121903226,2.7298517275882297,0.1455361393117069,18.757208625285013,1.690471892125093e-78,2.5402157632333064e-75,2.7298517275882297,6.633874537649045,B4GALT5,9334
ENSG00000271503,403.9022037648792,5.048042773138644,0.27049640043619727,18.66214398786183,1.0061223104113468e-77,1.3606798126003055e-74,5.048042773138644,33.08356440957399,CCL5,6352
ENSG00000026508,15189.744810526658,2.963369953549171,0.16334573202065483,18.141704205497437,1.4932809172546377e-73,1.8359210113592474e-70,2.963369953549171,7.799436817924968,CD44,960
ENSG00000140379,900.9799501609587,5.611500829275435,0.30984258403255877,18.110812129961353,2.6185675885201175e-73,2.951125672262173e-70,5.611500829275435,48.89112946647784,BCL2A1,597
ENSG00000151726,18889.48429109137,4.158077064651285,0.2296696938281532,18.104596193533926,2.931531543074768e-73,3.04969481450332e-70,4.158077064651285,17.852782776429162,ACSL1,2180
ENSG00000232810,605.9304890675461,6.6618147144755575,0.3734117215993843,17.84040063322571,3.4322626376820503e-71,3.3155657080008607e-68,6.6618147144755575,101.25256983505223,TNF,7124
ENSG00000150938,2660.9466411394333,3.1856411215578566,0.17948272285446945,17.749012667591856,1.7541078994861747e-70,1.5815036821767352e-67,3.1856411215578566,9.098578219344512,CRIM1,51232
ENSG00000115652,1342.1751838319367,2.893375167634666,0.1641536754664741,17.626015131324877,1.5555141469302023e-69,1.3147983326927535e-66,2.893375167634666,7.430066729266806,UXS1,80146
