gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ABSLFC,FC,hgnc_symbol,entrezgene
ENSG00000125538,13521.162055465647,6.287708437344919,0.3044089362415827,20.655466015475035,8.71760084812405e-95,1.1789683387002965e-90,6.287708437344919,78.12478652154513,IL1B,3553
ENSG00000145901,2242.61335029069,3.2150518517529956,0.15604295407712426,20.60363360055306,2.546040030322669e-94,1.721632268504189e-90,3.2150518517529956,9.285965054980247,TNIP1,10318
ENSG00000276085,758.1198447484352,6.143758908475301,0.30040577190738127,20.451534168156716,5.821528039914166e-93,2.6243448403933058e-89,6.143758908475301,70.70591024010785,CCL3L1,6349
ENSG00000276085,758.1198447484352,6.143758908475301,0.30040577190738127,20.451534168156716,5.821528039914166e-93,2.6243448403933058e-89,6.143758908475301,70.70591024010785,CCL3L1,414062
ENSG00000276085,758.1198447484352,6.143758908475301,0.30040577190738127,20.451534168156716,5.821528039914166e-93,2.6243448403933058e-89,6.143758908475301,70.70591024010785,CCL3L3,6349
ENSG00000276085,758.1198447484352,6.143758908475301,0.30040577190738127,20.451534168156716,5.821528039914166e-93,2.6243448403933058e-89,6.143758908475301,70.70591024010785,CCL3L3,414062
ENSG00000271503,403.9022037648792,5.3955914220870005,0.2652436278649772,20.342020901756168,5.463223867494364e-92,1.8471159895998447e-88,5.3955914220870005,42.095421494437026,CCL5,6352
ENSG00000153071,8550.544473915328,-2.736143280026394,0.13984559121736412,-19.565459706009356,3.0464397374318226e-85,8.240010201805595e-82,2.736143280026394,-6.662867851219271,DAB2,1601
ENSG00000277632,2656.788323569687,5.9637271515617005,0.3137745567591755,19.006407699713236,1.5094174454713097e-80,3.402226922092332e-77,5.9637271515617005,62.41094500613329,CCL3,6348
ENSG00000026508,15189.744810526658,3.0680837109470915,0.16312466331995049,18.808214824814037,6.467939925827288e-79,1.249605993669832e-75,3.0680837109470915,8.386586413366192,CD44,960
ENSG00000115919,3900.0973085039077,2.874120557707914,0.15544208309606167,18.489977105696248,2.486599962976091e-76,4.203597237411082e-73,2.874120557707914,7.331561788160085,KYNU,8942
ENSG00000232810,605.9304890675461,6.04367837799301,0.3321809549704106,18.19393402168814,5.764977226752365e-74,8.662839112733222e-71,6.04367837799301,65.96726458969606,TNF,7124
ENSG00000112096,75688.06595417448,3.809958951236418,0.2099463461513424,18.14729820775239,1.3487372962201204e-73,1.824032319408091e-70,3.809958951236418,14.02529247605029,SOD2,6648
ENSG00000112297,1200.698737589321,2.377037081304434,0.13273379184597284,17.908303893426016,1.015841571574524e-71,1.2489310376339875e-68,2.377037081304434,5.194687927236927,CRYBG1,202
ENSG00000115652,1342.1751838319367,2.8813114590196007,0.16170757049721263,17.81803690550942,5.120202856381367e-71,5.770468619141801e-68,2.8813114590196007,7.36819610326689,UXS1,80146
ENSG00000175040,388.66631583799096,4.053241692871732,0.227662687527695,17.803715386513034,6.613228470470212e-71,6.879792448818396e-68,4.053241692871732,16.60149998034598,CHST2,9435
ENSG00000175471,1557.4347042070146,2.2666666904423614,0.12760662706374015,17.762922997017622,1.3691505650493235e-70,1.3225994458376466e-67,2.2666666904423614,4.812100223632146,MCTP1,79772
ENSG00000151726,18889.48429109137,4.060796978239603,0.2294738363374301,17.696121889331202,4.491947967061161e-70,4.049940287102343e-67,4.060796978239603,16.688668835645956,ACSL1,2180
ENSG00000102096,434.8237884129747,4.110050868272053,0.23329106255210136,17.617695351506004,1.8019784915387432e-69,1.5231223199731228e-66,4.110050868272053,17.268260638381246,PIM2,11040
ENSG00000182541,513.1569968311541,3.1711032797601852,0.18158774611351955,17.463200836127843,2.731783699814196e-68,2.173214279781599e-65,3.1711032797601852,9.007353485107044,LIMK2,3985
ENSG00000150938,2660.9466411394333,3.0927439431050563,0.17759925480782485,17.4141718469012,6.4414215024110095e-68,4.839654688811472e-65,3.0927439431050563,8.531171956242114,CRIM1,51232
ENSG00000140379,900.9799501609587,4.92203179350245,0.2901664610790707,16.962786723174016,1.548242237552437e-64,1.1020225274031134e-61,4.92203179350245,30.316510354233614,BCL2A1,597
ENSG00000158470,1271.523121903226,2.430594241049293,0.14394472314105697,16.885608503115883,5.7421208694672e-64,3.882822131933721e-61,2.430594241049293,5.391154447887912,B4GALT5,9334
ENSG00000026751,4308.998603499685,4.683379595997664,0.2774344592816679,16.88103059772694,6.205203105888725e-64,3.996150800192339e-61,4.683379595997664,25.69435614310543,SLAMF7,57823
ENSG00000169504,6682.441200182167,2.2118748531311634,0.1331760453825016,16.6086539570861,6.033181520291004e-62,3.70876122183707e-59,2.2118748531311634,4.6327693368485114,CLIC4,25932
ENSG00000050730,628.0734909881589,7.2487784898698475,0.44190068035057883,16.403637315333118,1.801230564546767e-60,1.0591235719534989e-57,7.2487784898698475,152.08968393792995,TNIP3,79931
ENSG00000146457,3171.922267343515,3.06309077154522,0.18767064835613909,16.321629399033405,6.92619568021303e-60,3.9029112658000427e-57,3.06309077154522,8.3576119309388055,WTAP,9589
ENSG00000131979,1454.637418416727,4.5286581411729845,0.27939984231319215,16.208520748184974,4.39008594961122e-59,2.3748608953016854e-56,4.5286581411729845,23.081389010828033,GCH1,2643
ENSG00000056558,669.0755333706087,4.734937017217961,0.29287902642992797,16.16686956022372,8.637725379497048e-59,4.492946078166081e-56,4.734937017217961,26.629196952175107,TRAF1,7185
ENSG00000112149,5285.580553640299,3.2364883355802587,0.2013498136958133,16.073957438419797,3.884740281547953e-58,1.9458232432464637e-55,3.2364883355802587,9.424972020878444,CD83,9308
ENSG00000145779,2078.536659895973,2.369892697783666,0.1496889664073823,15.832113446050148,1.8683858789901076e-56,8.713120906021454e-54,2.369892697783666,5.169026855528878,TNFAIP8,25816
ENSG00000152484,1599.3113107048298,1.9829287975502479,0.1252455924053295,15.832323992152473,1.8621435777990905e-56,8.713120906021454e-54,1.9829287975502479,3.9529475082975836,USP12,219333
ENSG00000115956,4934.574200852837,2.2185818489106106,0.14165276397224208,15.662114784751806,2.746118324050899e-55,1.2379501404821453e-52,2.2185818489106106,4.654356922121862,PLEK,5341
ENSG00000136244,458.5677858467327,7.252802495673099,0.46433311016480294,15.619826234443858,5.335082799280888e-55,2.327472896047572e-52,7.252802495673099,152.51448894868807,IL6,3569
ENSG00000155629,7951.505445905264,2.260756387596403,0.14669393034637668,15.411383294852483,1.372422905211501e-53,5.800202303150106e-51,2.260756387596403,4.7924267714358555,PIK3AP1,118788
