gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ABSLFC,FC,hgnc_symbol,entrezgene
ENSG00000183484,491.2173108365147,-2.2554075234849864,0.1334437088856129,-16.901565029328637,4.381221846757908e-64,6.113118842781309e-60,2.2554075234849864,-4.774691506692206,GPR132,29933
ENSG00000153208,2054.6615661935934,3.1973196028630486,0.19539537936885418,16.363332711298998,3.4946807718423193e-60,2.438064040475794e-56,3.1973196028630486,9.17252926790062,MERTK,10461
ENSG00000104312,597.3248348515182,-2.1631931443078662,0.14536543698842408,-14.88106931828732,4.374514273799279e-50,2.0345865887440446e-46,2.1631931443078662,-4.4790511583482,RIPK2,8767
ENSG00000101017,1235.4108132481717,-2.2784183586323055,0.1619663091445751,-14.067236394196852,6.038335733522484e-45,2.1063224622459805e-41,2.2784183586323055,-4.85145791797452,CD40,958
ENSG00000137193,772.3996016895906,-3.165167431324547,0.22922001269249903,-13.808425338369783,2.2673369724804384e-43,6.327230555403911e-40,3.165167431324547,-8.970369616035015,PIM1,5292
ENSG00000197971,1674.5038552749927,1.43310794542162,0.10536682602652721,13.60113044556187,3.942915583497332e-42,9.169250189423046e-39,1.43310794542162,2.7002780030624596,MBP,4155
ENSG00000101695,682.73645572802,2.570644711612529,0.1900242985402834,13.527978955110186,1.0692297323099743e-41,2.1312803507030101e-38,2.570644711612529,5.9407484913181925,RNF125,54941
ENSG00000105401,1236.2025312461037,-1.2998286801179257,0.09716361465421214,-13.377730797107361,8.16007726268327e-41,1.4232194755777458e-37,1.2998286801179257,-2.461996447514894,CDC37,11140
ENSG00000232956,174.0307045433517,-2.6382975220370084,0.19767616343512526,-13.346563774761155,1.2404000517427445e-40,1.923033546885168e-37,2.6382975220370084,-6.225965239460088,SNHG15,NA
ENSG00000114554,700.3784955229938,-2.022146883827977,0.15336624080979028,-13.185084756272458,1.069337473213191e-39,1.4920465763743653e-36,2.022146883827977,-4.061877930794018,PLXNA1,5361
ENSG00000113302,142.53533486322945,-5.769918044686036,0.44661624827646057,-12.919185244497397,3.5083675146121545e-38,4.450204721034854e-35,5.769918044686036,-54.56553327568288,IL12B,3593
ENSG00000166165,219.21474818179422,-3.021920021066779,0.23647341192216903,-12.779111175768842,2.14506855235186e-37,2.4941784592471254e-34,3.021920021066779,-8.122478507235272,CKB,1152
