gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ABSLFC,FC,hgnc_symbol,entrezgene
ENSG00000165997,1217.8423813212987,-1.7434564049706256,0.11404747254539176,-15.287111288474339,9.319309142482874e-53,1.3003232046506354e-48,1.7434564049706256,-3.3483640776561137,ARL5B,221079
ENSG00000104312,597.3248348515182,-2.3609413593922337,0.16313904304368743,-14.471957879267388,1.822107419214321e-47,1.271193241014871e-43,2.3609413593922337,-5.137054428061701,RIPK2,8767
ENSG00000153208,2054.6615661935934,3.129620202877431,0.21873501216150673,14.307815525054684,1.9556015400041557e-46,9.095502762559329e-43,3.129620202877431,8.752045284438204,MERTK,10461
ENSG00000115604,1086.1685763585242,-3.5535228071327087,0.26686071924274696,-13.316020496445883,1.8680242611062068e-40,6.5161356288037255e-37,3.5535228071327087,-11.741320829221033,IL18R1,8809
ENSG00000183484,491.2173108365147,-1.9025168618345165,0.14343641894663345,-13.263834079281926,3.752110681201416e-40,1.0470640066960671e-36,1.9025168618345165,-3.73864856081228,GPR132,29933
ENSG00000113302,142.53533486322945,-7.137537582876445,0.5519585621352543,-12.931292442071824,2.9973740716300906e-38,6.970393403575776e-35,7.137537582876445,-140.80332404387863,IL12B,3593
ENSG00000205339,3258.051948051045,-1.0797245039306267,0.08385677572334652,-12.875817065668805,6.158389106930168e-38,1.227542902985666e-34,1.0797245039306267,-2.113632424764544,IPO7,10527
ENSG00000171811,226.22063385317355,-4.780047133075264,0.3779477486597888,-12.647375596297156,1.1567457054587145e-36,2.0175091035331805e-33,4.780047133075264,-27.47499156366748,CFAP46,54777
ENSG00000261371,4371.804869748638,2.2724729515951845,0.18803297137016067,12.085502532008638,1.2599742384335938e-33,1.9533800609848813e-30,2.2724729515951845,4.831505995120793,PECAM1,5175
ENSG00000197971,1674.5038552749927,1.4056301984652724,0.1164895216152574,12.066580572867318,1.5858804679391293e-33,2.212779016915467e-30,1.4056301984652724,2.6493348512816453,MBP,4155
ENSG00000101017,1235.4108132481717,-2.108567540641445,0.17949998415571602,-11.746895413719173,7.326124150893363e-32,9.29285547976501e-29,2.108567540641445,-4.312628788087185,CD40,958
